COHORTE,CAMPUS,FACULTAD,CARRERA,DOMICILIO_CIUDAD,DOMICILIO_COMUNA,DOMICILIO_PROVINCIA,DOMICILIO_REGION_D,GRUPO_ANHO_EGRESO,UNIDAD_EDUCATIVA,DEPENDENCIA,TIPO_EDUCACION,POSICION_LISTA_POST,GRUPO_ED_PADRES,SEXO,COMUNA_COLEGIO,REGION_COLEGIO,1RA_PREFERENCIA,PTJE_LENGUAJE,PTJE_MATEMATICAS,PTJE_NEM,FINANCIAMIENTO,GRATUIDAD,TRABAJA_Y_ESTUDIA,HIJOS,DISCAPACIDAD,SITUACION_DE_POSTULACION,CERCANIA,DESERTA_1ER_ANHO,AMBAS_PRUEBAS,MAX_PTJE,EDAD_EGRESO_COLEGIO,EDAD_INGRESO_UNIV
2019,TALCA,FACULTAD DE PSICOLOGIA,PSICOLOGIA,LINARES,LINARES,CAUQUENES,REGION DEL MAULE,ULTIMO ANO,1,MUNICIPAL,CIENTIFICO HUMANISTA,11,NINGUNO PROFESIONAL,MUJER,LINARES,7,1,618,603,721,SI,SI,No,No,No,SELECCIONADO,LEJOS,0,1,HISTORIA,18,19
2019,TALCA,FACULTAD DE PSICOLOGIA,PSICOLOGIA,LINARES,LINARES,CAUQUENES,REGION DEL MAULE,ULTIMO ANO,1,MUNICIPAL,CIENTIFICO HUMANISTA,81,NINGUNO PROFESIONAL,HOMBRE,LINARES,7,1,690,524,648,NO,NO,Si,No,No,SELECCIONADO,LEJOS,1,1,LENGUAJE,18,19
2019,TALCA,FACULTAD DE PSICOLOGIA,PSICOLOGIA,LINARES,SAN JAVIER,CAUQUENES,REGION DEL MAULE,ULTIMO ANO,1,MUNICIPAL,CIENTIFICO HUMANISTA,59,ALGUNO PROFESIONAL,MUJER,TALCA,7,1,563,589,663,SI,SI,No,No,Si,SELECCIONADO,LEJOS,0,0,HISTORIA,18,19
2019,TALCA,FACULTAD DE PSICOLOGIA,PSICOLOGIA,LINARES,LINARES,CAUQUENES,REGION DEL MAULE,ULTIMO ANO,3,PARTICULAR SUBVENCIONADO,TECNICO PROFESIONAL,36,NINGUNO PROFESIONAL,MUJER,LINARES,7,0,639,544,705,SI,SI,No,No,No,SELECCIONADO,LEJOS,0,1,LENGUAJE,18,19
2019,TALCA,FACULTAD DE PSICOLOGIA,PSICOLOGIA,CURICO,CURICO,CURICO,REGION DEL MAULE,ULTIMO ANO,1,MUNICIPAL,CIENTIFICO HUMANISTA,14,NINGUNO PROFESIONAL,MUJER,CURICO,7,1,663,638,704,SI,SI,No,No,Si,SELECCIONADO,LEJOS,0,1,LENGUAJE,17,18
2019,TALCA,FACULTAD DE PSICOLOGIA,PSICOLOGIA,LINARES,LINARES,CAUQUENES,REGION DEL MAULE,ULTIMO ANO,1,MUNICIPAL,CIENTIFICO HUMANISTA,23,NINGUNO PROFESIONAL,MUJER,LINARES,7,1,725,607,663,SI,SI,No,No,No,SELECCIONADO,LEJOS,0,0,LENGUAJE,17,18
2019,TALCA,FACULTAD DE PSICOLOGIA,PSICOLOGIA,LINARES,LINARES,CAUQUENES,REGION DEL MAULE,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,44,NINGUNO PROFESIONAL,HOMBRE,LINARES,7,0,598,646,638,SI,SI,Si,No,No,SELECCIONADO,LEJOS,0,1,MATEMATICAS,17,18
2019,TALCA,FACULTAD DE PSICOLOGIA,PSICOLOGIA,LINARES,LINARES,CAUQUENES,REGION DEL MAULE,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,10,NINGUNO PROFESIONAL,MUJER,LINARES,7,1,706,544,715,SI,SI,No,No,No,SELECCIONADO,LEJOS,0,0,LENGUAJE,17,18
2019,TALCA,FACULTAD DE PSICOLOGIA,PSICOLOGIA,LONGAVI,LONGAVI,CAUQUENES,REGION DEL MAULE,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,8,NINGUNO PROFESIONAL,HOMBRE,LINARES,7,1,746,653,684,NO,NO,No,No,No,SELECCIONADO,LEJOS,0,0,LENGUAJE,17,18
2019,TALCA,FACULTAD DE PSICOLOGIA,PSICOLOGIA,CAUQUENES,CAUQUENES,LINARES,REGION DEL MAULE,ULTIMO ANO,1,MUNICIPAL,CIENTIFICO HUMANISTA,96,ALGUNO PROFESIONAL,HOMBRE,CAUQUENES,7,1,608,512,663,SI,SI,Si,No,No,LISTA DE ESPERA,LEJOS,0,1,LENGUAJE,18,19
2019,TALCA,FACULTAD DE PSICOLOGIA,PSICOLOGIA,PARRAL,PARRAL,CAUQUENES,REGION DEL MAULE,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,78,NINGUNO PROFESIONAL,HOMBRE,PARRAL,7,0,651,560,648,NO,NO,No,No,No,SELECCIONADO,LEJOS,0,0,LENGUAJE,17,18
2019,TALCA,FACULTAD DE PSICOLOGIA,PSICOLOGIA,TALCA,TALCA,TALCA,REGION DEL MAULE,ULTIMO ANO,1,PARTICULAR PAGADO,CIENTIFICO HUMANISTA,3,AMBOS PROFESIONALES,MUJER,TALCA,7,1,725,627,742,NO,NO,No,No,No,SELECCIONADO,CERCA,1,0,LENGUAJE,18,19
2019,TALCA,FACULTAD DE PSICOLOGIA,PSICOLOGIA,TALCA,TALCA,TALCA,REGION DEL MAULE,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,53,NINGUNO PROFESIONAL,HOMBRE,TALCA,7,1,589,616,659,SI,SI,No,No,No,SELECCIONADO,CERCA,0,1,MATEMATICAS,18,19
2019,TALCA,FACULTAD DE PSICOLOGIA,PSICOLOGIA,CURICO,SAGRADA FAMILIA,CURICO,REGION DEL MAULE,ULTIMO ANO,1,PARTICULAR PAGADO,CIENTIFICO HUMANISTA,110,NINGUNO PROFESIONAL,MUJER,CURICO,7,1,580,584,638,SI,SI,No,No,No,LISTA DE ESPERA,LEJOS,0,1,MATEMATICAS,18,19
2019,TALCA,FACULTAD DE PSICOLOGIA,PSICOLOGIA,TALCA,TALCA,TALCA,REGION DEL MAULE,ULTIMO ANO,1,MUNICIPAL,CIENTIFICO HUMANISTA,30,AMBOS PROFESIONALES,HOMBRE,TALCA,7,1,608,589,711,SI,SI,No,No,No,SELECCIONADO,CERCA,0,0,LENGUAJE,17,18
2019,TALCA,FACULTAD DE PSICOLOGIA,PSICOLOGIA,TALCA,TALCA,TALCA,REGION DEL MAULE,ULTIMO ANO,1,MUNICIPAL,CIENTIFICO HUMANISTA,108,NINGUNO PROFESIONAL,HOMBRE,TALCA,7,1,532,594,652,SI,SI,No,No,Si,LISTA DE ESPERA,CERCA,0,0,MATEMATICAS,17,18
2019,TALCA,FACULTAD DE PSICOLOGIA,PSICOLOGIA,LINARES,SAN JAVIER,CAUQUENES,REGION DEL MAULE,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,63,ALGUNO PROFESIONAL,HOMBRE,SAN JAVIER,7,0,618,607,621,SI,SI,Si,No,No,SELECCIONADO,LEJOS,0,0,HISTORIA,17,18
2019,TALCA,FACULTAD DE PSICOLOGIA,PSICOLOGIA,TALCA,TALCA,TALCA,REGION DEL MAULE,ULTIMO ANO,1,MUNICIPAL,CIENTIFICO HUMANISTA,34,NINGUNO PROFESIONAL,MUJER,TALCA,7,1,572,598,700,SI,SI,No,No,No,SELECCIONADO,CERCA,0,0,HISTORIA,17,18
2019,TALCA,FACULTAD DE PSICOLOGIA,PSICOLOGIA,LINARES,SAN JAVIER,CAUQUENES,REGION DEL MAULE,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,5,AMBOS PROFESIONALES,MUJER,SAN JAVIER,7,1,608,653,732,NO,NO,No,No,No,SELECCIONADO,LEJOS,0,0,MATEMATICAS,17,18
2019,TALCA,FACULTAD DE PSICOLOGIA,PSICOLOGIA,TALCA,TALCA,TALCA,REGION DEL MAULE,ULTIMO ANO,3,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,69,NINGUNO PROFESIONAL,HOMBRE,TALCA,7,1,589,584,648,SI,SI,No,No,No,SELECCIONADO,CERCA,0,1,HISTORIA,17,18
2019,TALCA,FACULTAD DE PSICOLOGIA,PSICOLOGIA,CAUQUENES,CAUQUENES,LINARES,REGION DEL MAULE,ULTIMO ANO,1,MUNICIPAL,CIENTIFICO HUMANISTA,46,NINGUNO PROFESIONAL,MUJER,CAUQUENES,7,0,589,512,736,SI,SI,No,No,No,SELECCIONADO,LEJOS,0,1,LENGUAJE,17,18
2019,TALCA,FACULTAD DE PSICOLOGIA,PSICOLOGIA,SAN CARLOS,SAN CARLOS,NUBLE,REGION DEL BIOBIO,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,88,NINGUNO PROFESIONAL,MUJER,SAN CARLOS,16,0,572,567,648,NO,NO,No,No,No,SELECCIONADO,LEJOS,1,1,HISTORIA,18,19
2019,TALCA,FACULTAD DE PSICOLOGIA,PSICOLOGIA,LINARES,RETIRO,CAUQUENES,REGION DEL MAULE,ULTIMO ANO,1,MUNICIPAL,CIENTIFICO HUMANISTA,29,NINGUNO PROFESIONAL,HOMBRE,RETIRO,7,1,608,560,679,SI,SI,No,No,No,SELECCIONADO,LEJOS,0,0,LENGUAJE,17,18
2019,TALCA,FACULTAD DE PSICOLOGIA,PSICOLOGIA,SAN FERNANDO,SAN FERNANDO,CARDENAL CARO,REGION DEL LIBERTADOR BERNARDO OHIGGINS,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,57,AMBOS PROFESIONALES,MUJER,SAN FERNANDO,6,0,628,620,652,SI,SI,No,No,No,SELECCIONADO,LEJOS,0,0,LENGUAJE,18,19
2019,TALCA,FACULTAD DE PSICOLOGIA,PSICOLOGIA,RANCAGUA,RANCAGUA,CACHAPOAL,REGION DEL LIBERTADOR BERNARDO OHIGGINS,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,75,NINGUNO PROFESIONAL,MUJER,RANCAGUA,6,0,547,544,663,SI,SI,No,No,Si,SELECCIONADO,LEJOS,0,0,HISTORIA,17,18
2019,TALCA,FACULTAD DE PSICOLOGIA,PSICOLOGIA,SAN FERNANDO,PERALILLO,CARDENAL CARO,REGION DEL LIBERTADOR BERNARDO OHIGGINS,ULTIMO ANO,1,MUNICIPAL,CIENTIFICO HUMANISTA,40,NINGUNO PROFESIONAL,HOMBRE,PERALILLO,6,0,524,482,752,NO,NO,No,No,No,SELECCIONADO,LEJOS,1,0,HISTORIA,17,18
2019,TALCA,FACULTAD DE PSICOLOGIA,PSICOLOGIA,SAN FERNANDO,PERALILLO,CARDENAL CARO,REGION DEL LIBERTADOR BERNARDO OHIGGINS,ULTIMO ANO,1,MUNICIPAL,CIENTIFICO HUMANISTA,33,NINGUNO PROFESIONAL,HOMBRE,PERALILLO,6,1,572,624,700,SI,SI,No,No,No,SELECCIONADO,LEJOS,0,1,MATEMATICAS,17,18
2019,TALCA,FACULTAD DE PSICOLOGIA,PSICOLOGIA,TALCA,TALCA,TALCA,REGION DEL MAULE,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,72,ALGUNO PROFESIONAL,HOMBRE,TALCA,7,1,547,535,679,SI,NO,No,No,No,SELECCIONADO,CERCA,0,1,LENGUAJE,17,18
2019,TALCA,FACULTAD DE PSICOLOGIA,PSICOLOGIA,LOS ANGELES,LOS ANGELES,CONCEPCION,REGION DEL BIOBIO,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,77,AMBOS PROFESIONALES,MUJER,LOS ANGELES,8,1,628,594,627,NO,NO,No,No,No,SELECCIONADO,LEJOS,1,0,HISTORIA,17,18
2019,TALCA,FACULTAD DE PSICOLOGIA,PSICOLOGIA,TALCA,TALCA,TALCA,REGION DEL MAULE,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,89,AMBOS PROFESIONALES,HOMBRE,TALCA,7,1,651,624,596,NO,NO,No,No,No,SELECCIONADO,CERCA,0,1,HISTORIA,17,18
2019,TALCA,FACULTAD DE PSICOLOGIA,PSICOLOGIA,CURICO,RAUCO,CURICO,REGION DEL MAULE,ULTIMO ANO,2,PARTICULAR SUBVENCIONADO,TECNICO PROFESIONAL,42,NINGUNO PROFESIONAL,MUJER,CURICO,7,0,524,573,705,SI,SI,No,No,No,SELECCIONADO,LEJOS,0,1,MATEMATICAS,17,18
2019,TALCA,FACULTAD DE PSICOLOGIA,PSICOLOGIA,TALCA,SAN RAFAEL,TALCA,REGION DEL MAULE,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,102,AMBOS PROFESIONALES,HOMBRE,TALCA,7,1,651,627,590,SI,NO,No,No,No,LISTA DE ESPERA,CERCA,0,0,LENGUAJE,18,19
2019,TALCA,INSTITUTO DE CIENCIAS BIOLOGICAS,BIOQUIMICA,RANCAGUA,RANCAGUA,CACHAPOAL,REGION DEL LIBERTADOR BERNARDO OHIGGINS,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,30,AMBOS PROFESIONALES,HOMBRE,RANCAGUA,6,1,517,589,642,NO,NO,No,No,No,SELECCIONADO,LEJOS,1,1,CIENCIAS,18,19
2019,TALCA,INSTITUTO DE CIENCIAS BIOLOGICAS,BIOQUIMICA,CONSTITUCION,CONSTITUCION,TALCA,REGION DEL MAULE,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,24,NINGUNO PROFESIONAL,MUJER,CONSTITUCION,7,0,547,567,704,NO,NO,No,No,No,SELECCIONADO,LEJOS,1,0,MATEMATICAS,18,19
2019,TALCA,INSTITUTO DE CIENCIAS BIOLOGICAS,BIOQUIMICA,CURICO,CURICO,CURICO,REGION DEL MAULE,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,12,AMBOS PROFESIONALES,MUJER,CURICO,7,1,706,657,673,SI,SI,Si,No,No,SELECCIONADO,LEJOS,0,0,LENGUAJE,17,18
2019,TALCA,INSTITUTO DE CIENCIAS BIOLOGICAS,BIOQUIMICA,TALCA,SAN CLEMENTE,TALCA,REGION DEL MAULE,ULTIMO ANO,4,PARTICULAR SUBVENCIONADO,TECNICO PROFESIONAL,2,NINGUNO PROFESIONAL,MUJER,TALCA,7,0,676,607,767,SI,SI,No,No,No,SELECCIONADO,CERCA,0,0,LENGUAJE,18,19
2019,TALCA,INSTITUTO DE CIENCIAS BIOLOGICAS,BIOQUIMICA,CURICO,CURICO,CURICO,REGION DEL MAULE,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,22,NINGUNO PROFESIONAL,HOMBRE,CURICO,7,1,509,624,679,SI,SI,No,No,No,SELECCIONADO,LEJOS,0,0,MATEMATICAS,18,19
2019,TALCA,INSTITUTO DE CIENCIAS BIOLOGICAS,BIOQUIMICA,TALCA,TALCA,TALCA,REGION DEL MAULE,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,32,NINGUNO PROFESIONAL,MUJER,TALCA,7,1,473,594,673,SI,SI,Si,No,No,LISTA DE ESPERA,CERCA,0,0,MATEMATICAS,18,19
2019,TALCA,INSTITUTO DE CIENCIAS BIOLOGICAS,BIOQUIMICA,TALCA,MAULE,TALCA,REGION DEL MAULE,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,16,NINGUNO PROFESIONAL,MUJER,TALCA,7,1,563,646,684,SI,SI,Si,No,No,SELECCIONADO,CERCA,0,1,MATEMATICAS,18,19
2019,TALCA,INSTITUTO DE CIENCIAS BIOLOGICAS,BIOQUIMICA,TALCA,MAULE,TALCA,REGION DEL MAULE,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,6,NINGUNO PROFESIONAL,MUJER,TALCA,7,1,651,544,773,NO,NO,Si,No,No,SELECCIONADO,CERCA,0,0,LENGUAJE,17,18
2019,TALCA,INSTITUTO DE CIENCIAS BIOLOGICAS,BIOQUIMICA,RANCAGUA,OLIVAR,CACHAPOAL,REGION DEL LIBERTADOR BERNARDO OHIGGINS,ULTIMO ANO,1,MUNICIPAL,CIENTIFICO HUMANISTA,10,NINGUNO PROFESIONAL,MUJER,RANCAGUA,6,1,746,612,694,SI,SI,No,No,No,SELECCIONADO,LEJOS,0,0,LENGUAJE,17,18
2019,TALCA,INSTITUTO DE CIENCIAS BIOLOGICAS,BIOQUIMICA,TALCA,EMPEDRADO,TALCA,REGION DEL MAULE,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,21,ALGUNO PROFESIONAL,MUJER,CONSTITUCION,7,0,598,598,669,NO,NO,No,No,No,SELECCIONADO,CERCA,1,1,LENGUAJE,17,18
2019,TALCA,INSTITUTO DE CIENCIAS BIOLOGICAS,BIOQUIMICA,TALCA,TALCA,TALCA,REGION DEL MAULE,ULTIMO ANO,1,MUNICIPAL,CIENTIFICO HUMANISTA,17,ALGUNO PROFESIONAL,HOMBRE,TALCA,7,1,572,620,684,SI,SI,No,No,No,SELECCIONADO,CERCA,0,1,CIENCIAS,17,18
2019,TALCA,INSTITUTO DE CIENCIAS BIOLOGICAS,BIOQUIMICA,TALCA,TALCA,TALCA,REGION DEL MAULE,ULTIMO ANO,1,PARTICULAR PAGADO,CIENTIFICO HUMANISTA,34,ALGUNO PROFESIONAL,HOMBRE,TALCA,7,0,589,716,575,NO,NO,Si,No,No,LISTA DE ESPERA,CERCA,0,0,MATEMATICAS,17,18
2020,SANTIAGO,FACULTAD DE ECONOMIA Y NEGOCIOS,INGENIERIA COMERCIAL- SANTIAGO,SANTIAGO,PROVIDENCIA,CORDILLERA,REGION METROPOLITANA DE SANTIAGO,ANOS ANTERIORES,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,10,NINGUNO PROFESIONAL,HOMBRE,SAN RAMON,13,0,664,600,576,NO,NO,Si,Si,No,SELECCIONADO,CERCA,0,0,LENGUAJE,17,52
2020,TALCA,FACULTAD DE CIENCIAS DE LA SALUD,TECNOLOGIA MEDICA,CURICO,MOLINA,CURICO,REGION DEL MAULE,ANOS ANTERIORES,1,MUNICIPAL,CIENTIFICO HUMANISTA,12,NINGUNO PROFESIONAL,MUJER,CURICO,7,0,580,682,750,SI,SI,Si,No,No,SELECCIONADO,LEJOS,0,0,MATEMATICAS,18,33
2020,TALCA,FACULTAD DE CIENCIAS DE LA SALUD,OBSTETRICIA Y PUERICULTURA,TALCA,TALCA,TALCA,REGION DEL MAULE,ANOS ANTERIORES,1,PARTICULAR PAGADO,CIENTIFICO HUMANISTA,47,AMBOS PROFESIONALES,MUJER,TALCA,7,1,703,628,707,NO,NO,No,Si,No,SELECCIONADO,CERCA,1,0,LENGUAJE,18,32
2020,LINARES,FACULTAD DE CIENCIAS DE LA EDUCACION,PEDAGOGIA EN EDUCACION MEDIA EN BIOLOGIA Y QUIMICA,CURICO,CURICO,CURICO,REGION DEL MAULE,ANOS ANTERIORES,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,3,ALGUNO PROFESIONAL,MUJER,CURICO,7,1,624,639,671,SI,SI,Si,No,No,SELECCIONADO,LEJOS,0,0,CIENCIAS,18,31
2020,TALCA,FACULTAD DE ECONOMIA Y NEGOCIOS,AUDITORIA E INGENIERIA EN CONTROL DE GESTION-TALCA,TALCA,TALCA,TALCA,REGION DEL MAULE,ANOS ANTERIORES,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,30,ALGUNO PROFESIONAL,HOMBRE,CONSTITUCION,7,1,647,616,692,SI,SI,Si,No,No,SELECCIONADO,CERCA,0,0,HISTORIA,17,30
2020,LINARES,FACULTAD DE CIENCIAS DE LA EDUCACION,PEDAGOGIA EN EDUCACION MEDIA EN INGLES,LINARES,COLBUN,CAUQUENES,REGION DEL MAULE,ANOS ANTERIORES,1,MUNICIPAL,CIENTIFICO HUMANISTA,7,ALGUNO PROFESIONAL,HOMBRE,RANCAGUA,6,1,482,577,661,SI,SI,Si,No,No,SELECCIONADO,CERCA,0,1,HISTORIA,18,29
2020,LINARES,FACULTAD DE CIENCIAS DE LA EDUCACION,PEDAGOGIA EN EDUCACION MEDIA EN INGLES,LINARES,LINARES,CAUQUENES,REGION DEL MAULE,ANOS ANTERIORES,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,9,NINGUNO PROFESIONAL,HOMBRE,LINARES,7,1,706,631,506,NO,NO,Si,No,No,SELECCIONADO,CERCA,1,1,LENGUAJE,18,28
2020,TALCA,"FACULTAD DE ARQUITECTURA, MUSICA Y DISENO",DISENO,TALCA,SAN CLEMENTE,TALCA,REGION DEL MAULE,ANOS ANTERIORES,3,MUNICIPAL,TECNICO PROFESIONAL,42,NINGUNO PROFESIONAL,HOMBRE,TALCA,7,0,547,584,550,NO,NO,Si,No,No,LISTA DE ESPERA,CERCA,1,0,HISTORIA,17,27
2020,TALCA,FACULTAD DE CIENCIAS DE LA SALUD,KINESIOLOGIA,RENGO,RENGO,CACHAPOAL,REGION DEL LIBERTADOR BERNARDO OHIGGINS,ANOS ANTERIORES,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,5,NINGUNO PROFESIONAL,HOMBRE,RENGO,6,1,680,683,692,SI,SI,Si,No,No,SELECCIONADO,LEJOS,0,0,CIENCIAS,17,27
2020,TALCA,"FACULTAD DE ARQUITECTURA, MUSICA Y DISENO",LICENCIATURA EN INTERPRETACION Y FORMACION MUSICAL ESPECIALIZADA,LINARES,LINARES,CAUQUENES,REGION DEL MAULE,ANOS ANTERIORES,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,17,NINGUNO PROFESIONAL,MUJER,LINARES,7,1,577,524,528,NO,NO,Si,No,No,SELECCIONADO,LEJOS,1,0,LENGUAJE,17,26
2020,TALCA,FACULTAD DE CIENCIAS AGRARIAS,AGRONOMIA,SANTIAGO,LA CISTERNA,CORDILLERA,REGION METROPOLITANA DE SANTIAGO,ANOS ANTERIORES,1,MUNICIPAL,CIENTIFICO HUMANISTA,45,ALGUNO PROFESIONAL,MUJER,EL BOSQUE,13,1,551,587,556,SI,SI,No,Si,No,SELECCIONADO,LEJOS,0,0,CIENCIAS,18,27
2020,TALCA,FACULTAD DE CIENCIAS JURIDICAS Y SOCIALES,DERECHO,CURICO,MOLINA,CURICO,REGION DEL MAULE,ANOS ANTERIORES,1,PARTICULAR SUBVENCIONADO,TECNICO PROFESIONAL,8,NINGUNO PROFESIONAL,MUJER,MOLINA,7,1,775,560,735,SI,SI,No,Si,No,SELECCIONADO,LEJOS,0,0,HISTORIA,18,27
2020,TALCA,FACULTAD DE INGENIERIA,INGENIERIA EN DESARROLLO DE VIDEOJUEGOS Y REALIDAD VIRTUAL,TEMUCO,TEMUCO,CAUTIN,REGION DE LA ARAUCANIA,ANOS ANTERIORES,1,MUNICIPAL,CIENTIFICO HUMANISTA,61,AMBOS PROFESIONALES,HOMBRE,TALCA,7,0,555,585,576,SI,SI,Si,No,No,LISTA DE ESPERA,LEJOS,0,1,CIENCIAS,17,26
2020,TALCA,FACULTAD DE PSICOLOGIA,PSICOLOGIA,CURICO,CURICO,CURICO,REGION DEL MAULE,ANOS ANTERIORES,1,MUNICIPAL,CIENTIFICO HUMANISTA,45,NINGUNO PROFESIONAL,MUJER,CURICO,7,0,539,642,692,SI,NO,Si,No,No,SELECCIONADO,LEJOS,0,1,MATEMATICAS,17,26
2020,TALCA,INSTITUTO DE CIENCIAS BIOLOGICAS,BIOQUIMICA,SANTIAGO,LO BARNECHEA,CORDILLERA,REGION METROPOLITANA DE SANTIAGO,ANOS ANTERIORES,1,MUNICIPAL,CIENTIFICO HUMANISTA,2,AMBOS PROFESIONALES,HOMBRE,TIRUA,8,1,746,607,792,NO,NO,Si,No,No,SELECCIONADO,LEJOS,0,1,LENGUAJE,18,27
2020,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL MECATRONICA,LINARES,LINARES,CAUQUENES,REGION DEL MAULE,ANOS ANTERIORES,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,37,NINGUNO PROFESIONAL,HOMBRE,LINARES,7,1,500,600,612,SI,SI,Si,No,No,SELECCIONADO,LEJOS,0,1,HISTORIA,18,26
2020,LINARES,FACULTAD DE CIENCIAS DE LA EDUCACION,"PEDAGOGIA EN EDUCACION GENERAL BASICA,MENCION INGLES",CAUQUENES,CAUQUENES,LINARES,REGION DEL MAULE,ANOS ANTERIORES,1,MUNICIPAL,CIENTIFICO HUMANISTA,9,ALGUNO PROFESIONAL,HOMBRE,CAUQUENES,7,0,583,468,469,NO,NO,No,No,No,SELECCIONADO,LEJOS,0,0,LENGUAJE,18,26
2020,LINARES,FACULTAD DE CIENCIAS DE LA EDUCACION,PEDAGOGIA EN EDUCACION MEDIA EN INGLES,LINARES,LINARES,CAUQUENES,REGION DEL MAULE,ANOS ANTERIORES,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,22,ALGUNO PROFESIONAL,HOMBRE,IQUIQUE,1,1,571,560,513,SI,SI,No,No,No,SELECCIONADO,CERCA,0,0,LENGUAJE,18,26
2020,SANTIAGO,FACULTAD DE CIENCIAS JURIDICAS Y SOCIALES,ADMINISTRACION PUBLICA,SANTIAGO,MAIPU,CORDILLERA,REGION METROPOLITANA DE SANTIAGO,ANOS ANTERIORES,2,PARTICULAR SUBVENCIONADO,TECNICO PROFESIONAL,20,NINGUNO PROFESIONAL,MUJER,PUDAHUEL,13,0,706,524,486,SI,SI,Si,No,No,SELECCIONADO,CERCA,0,0,LENGUAJE,18,26
2020,SANTIAGO,FACULTAD DE CIENCIAS JURIDICAS Y SOCIALES,DERECHO - CAMPUS SANTIAGO,SANTIAGO,SANTIAGO,CORDILLERA,REGION METROPOLITANA DE SANTIAGO,ANOS ANTERIORES,1,PARTICULAR PAGADO,CIENTIFICO HUMANISTA,43,ALGUNO PROFESIONAL,HOMBRE,CURICO,7,0,711,601,570,NO,NO,No,No,No,SELECCIONADO,CERCA,0,0,LENGUAJE,18,26
2020,TALCA,ESCUELA DE MEDICINA,MEDICINA,PUENTE ALTO,PUENTE ALTO,MAIPO,REGION METROPOLITANA DE SANTIAGO,ANOS ANTERIORES,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,70,ALGUNO PROFESIONAL,HOMBRE,PUENTE ALTO,13,0,644,742,760,NO,NO,No,No,No,SELECCIONADO,LEJOS,0,0,MATEMATICAS,18,26
2020,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL ELECTRICA,TALCA,TALCA,TALCA,REGION DEL MAULE,ANOS ANTERIORES,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,32,ALGUNO PROFESIONAL,HOMBRE,TALCA,7,1,661,662,570,SI,NO,No,No,No,SELECCIONADO,LEJOS,0,1,MATEMATICAS,17,24
2020,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL EN OBRAS CIVILES,CURICO,MOLINA,CURICO,REGION DEL MAULE,ANOS ANTERIORES,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,52,ALGUNO PROFESIONAL,HOMBRE,CURICO,7,1,463,585,580,SI,SI,No,No,No,SELECCIONADO,CERCA,0,0,MATEMATICAS,18,25
